Control ID,Control,Control Description,Criticality,Domain,Framework (FK),Identifier,Implementation Guidance,Is Active,Mapped Controls,Type,Weight
130,IDENTIFICATION,The relevant entities shall manage the full life cycle of identities of network and information systems and their users.,,ACCESS CONTROL,45,11.5.1,"Establish and maintain an inventory of all identities managed in the entity. The inventory should include both user and privileged or system administrator identities. The inventory should contain, as a minimum, the person’s name, username, start/stop dates and the level of privileges for each identity. The inventory should also include all service identities and have these identity records as a minimum including department owner, review date, purpose and the level of privileges for each service identity.",Yes,,,
131,IDENTIFICATION,"For that purpose, the relevant entities shall: (a) set up unique identities for network and information systems and their users; (b) link the identity of users to a single person; (c) ensure oversight of identities of network and information systems; (d) apply logging to the management of identities.",,ACCESS CONTROL,45,11.5.2,"Recognize that providing or revoking access involves multiple steps: confirming business requirements for identity establishment, verifying entity identity before allocation, establishing the identity, configuring and activating it with related authentication services, and providing or revoking specific access rights based on appropriate authorization decisions. Ensure identities assigned to non-human users receive appropriately segregated approval and independent ongoing oversight. Apply logging to identity management in cooperation with human resource security where possible.",Yes,,,
132,IDENTIFICATION,"The relevant entities shall only permit identities assigned to multiple persons, such as shared identities, where they are necessary for business or operational reasons and are subject to an explicit approval process and documentation. The relevant entities shall take identities assigned to multiple persons into account in the cybersecurity risk management framework referred to in point 2.1.",,ACCESS CONTROL,45,11.5.3,"Shared identities must be avoided unless formally justified, explicitly approved and documented for strict business or operational necessity. Organizations shall implement Role-Based Access Control (RBAC) to assign privileges to individual identities based on defined functions and avoid shared accounts unless technical or operational constraints make them unavoidable. Protective controls include MFA enforcement, least privilege enforcement, time-bound or just-in-time access, credential checkout tools that log access and timing, privileged session recording or proxy-based auditing, session attribution to link shared identity use to individual users, logging, credential vaulting with auto-rotation, prohibition of storing shared credentials in personal files/emails/messaging platforms, network segmentation limiting shared account use to isolated segments or virtual environments, and mandatory training on acceptable use and accountability. Shared identities must be recorded in the cybersecurity risk management framework with enhanced monitoring and accountability measures to mitigate associated risks.",Yes,,,
133,IDENTIFICATION,"The relevant entities shall regularly review the identities for network and information systems and their users and, if no longer needed, deactivate them without delay.",,ACCESS CONTROL,45,11.5.4,"Verify that all active identities are reviewed. This can be done on a recurring schedule, as a minimum quarterly, or more frequently. However, for micro-sized entities, this can be done annually. Disable or remove, in a timely fashion, identities that they are no longer required, for example delete or disable any dormant identities after a predefined period of days of inactivity, where supported.",Yes,,,
134,AUTHENTICATION,The relevant entities shall implement secure authentication procedures and technologies based on access restrictions and the policy on access control.,,ACCESS CONTROL,45,11.6.1,"Authentication technologies are methods used to verify the identity of users, devices or systems before granting access to resources. Here are some common authentication technologies (indicative, non-exhaustive list):. password-based authentication,. passkeys,. two-factor authentication,. MFA (95),. biometric authentication,. token-based authentication, such as a one-time passcode (OTP),. smart cards,. Fast Identity Online 2 security keys,. certificate-based authentication,. SSO,. OpenID Connect.",Yes,,,
135,AUTHENTICATION,"Organizations shall ensure authentication strength matches asset classification, control allocation and management of secret authentication information with confidentiality safeguards and personnel guidance, require credential changes initially, at predefined intervals and upon suspected compromise, require credential reset and user blocking after predefined unsuccessful login attempts, terminate inactive sessions after predefined inactivity periods, and require separate credentials for privileged or administrative access. When implementing MFA, consider MFA fatigue mitigation techniques such as adaptive MFA, passkeys, MFA combined with SSO, and short session timeouts.",,ACCESS CONTROL,45,11.6.2,"Use unique authentication credentials for all assets; minimum 8-character passwords with MFA and 14-character passwords without MFA are recommended. Allocation and management processes must ensure automatically generated temporary credentials are non-guessable and unique per user, requiring change after first use; identity verification before issuing new, replacement or temporary credentials; secure transmission via authenticated protected channels, avoiding unprotected email; user acknowledgment of receipt; immediate change of default credentials post-installation; and approved record-keeping of allocation and management events with confidentiality. Password management systems must allow user selection and changes with confirmation and error addressing, enforce strong passwords, force changes at first login if relevant, enforce changes after security incidents or employment changes for shared identities, prevent commonly used or compromised passwords, hide passwords during entry, and store and transmit passwords in protected form. Phishing-resistant MFA is recommended, ordered by strength: strong (no shared secrets, protected cryptographic keys registered to domain per FIDO/WebAuthn or to trust provider per PKI/X.509), medium (push notification, number matching, application-based), last resort (SMS or email OTP). Encrypt and hash passwords per approved cryptographic techniques and alert on potential login control breaches.",Yes,,,
136,AUTHENTICATION,"The relevant entities shall to the extent feasible use state-of-the-art authentication methods, in accordance with the associated assessed risk and the classification of the asset to be accessed and unique authentication information.",,ACCESS CONTROL,45,11.6.3,"Adjust authentication methods based on the associated assessed risk. For example, require additional authentication for high-risk transactions or access to assets of higher criticality. Use more stringent authentication methods for assets of higher criticality. Ensure each user has unique credentials. Avoid shared accounts and implement strict policies for credential management.",Yes,,,
137,AUTHENTICATION,The relevant entities shall regularly review the authentication procedures and technologies at planned intervals.,,ACCESS CONTROL,45,11.6.4,"Conduct periodic audits of authentication procedures and technologies to ensure they remain up to date, where appropriate and effective against emerging threats. Stay up to date on advancements in authentication technology and integrate new methods as they become available.",Yes,,,
138,MULTI-FACTOR AUTHENTICATION,"The relevant entities shall ensure that users are authenticated by multiple authentication factors or continuous authentication mechanisms for accessing the entities’ network and information systems, where appropriate, in accordance with the classification of the asset to be accessed.",,ACCESS CONTROL,45,11.7.1,"Select MFA methods and continuous authentication mechanisms based on security needs and asset classification, considering user convenience. Available methods include text-message OTP (simple but vulnerable to SIM swapping), authenticator apps (time-based OTP), push notifications, hardware tokens, passkeys, FIDO2 security keys, and biometrics. Select phishing-resistant MFA to withstand phishing attacks. Consider continuous authentication to mitigate session hijacking, credential theft and insider threats.",Yes,,,
139,MULTI-FACTOR AUTHENTICATION,The relevant entities shall ensure that the strength of authentication is appropriate for the classification of the asset to be accessed.,,ACCESS CONTROL,45,11.7.2,"Determine which network and information systems require the use of MFA protection based on the classification of the asset to be accessed. Wherever possible, use phishing-resistant MFA. Analyse user roles and the level of access required by each role to determine appropriate MFA methods. Consider MFA, in particular when accessing systems from a remote location, accessing system administration systems, access to sensitive information, etc. Enforce MFA on internet-facing systems, such as email, remote desktop and VPNs (99). Define when and how MFA is required (e.g. every login, once per session or for high-risk actions).",Yes,,,
140,ASSET CLASSIFICATION,"For the purpose of Article 21(2), point (i) of Directive (EU) 2022/2555, the relevant entities shall lay down classification levels of all assets, including information, in scope of their network and information systems for the level of protection required.",,ASSET MANAGEMENT,45,12.1.1,"Create and document classification levels for the assets, including conventions for classification.",Yes,,,
141,ASSET CLASSIFICATION,"For the purpose of point 12.1.1., the relevant entities shall: (a) lay down a system of classification levels for assets; (b) associate all assets with a classification level, based on confidentiality, integrity, authenticity and availability requirements, to indicate the protection required according to their sensitivity, criticality, risk and business value; (c) align the availability requirements of the assets with the delivery and recovery objectives set out in their business continuity and disaster recovery plans.",,ASSET MANAGEMENT,45,12.1.2,"Ensure classifications and protective measures consider business needs including information sharing/restriction, integrity/authenticity protection, availability assurance and legal compliance. Define and communicate classifications for sensitive information such as public (freely accessible), internal (entity members only), and confidential (access only as duties require), derived from national law, international agreements or accepted strategies like traffic light protocol. Align classification with the access control policy. Classify assets according to identified levels and classify non-information assets according to the information they store, process, handle or protect.",Yes,,,
142,ASSET CLASSIFICATION,"The relevant entities shall conduct periodic reviews of the classification levels of assets and update them, where appropriate.",,ASSET MANAGEMENT,45,12.1.3,"Define criteria for reviewing the classification over time. Review the classification at least annually, taking into account:. regulatory changes; and. changes in the value, sensitivity and criticality of the assets throughout their life cycle.",Yes,,,
143,HANDLING OF ASSETS,"The relevant entities shall establish, implement and apply a policy for the proper handling of assets, including information, in accordance with their network and information security policy and shall communicate the policy on proper handling of assets to anyone who uses or handles assets.",,ASSET MANAGEMENT,45,12.2.1,"Ensure that employees, direct suppliers, service providers and any other third parties who use or handle the entity’s assets (101) are aware of the policy. Consider mobile devices, such as smartphones and tablets, and determine a strategy for mobile device management, including Bring-Your-Own-Device (BYOD) (102).",Yes,,,
144,HANDLING OF ASSETS,"The policy shall: (a) cover the entire life cycle of the assets, including acquisition, use, storage, transportation and disposal; (b) provide instructions on the safe use, safe storage, safe transport and the irretrievable deletion and destruction of the assets; (c) provide that the transfer shall take place in a secure manner, in accordance with the type of asset or information t. be transferred.",,ASSET MANAGEMENT,45,12.2.2,"Identify, document and implement a lifecycle asset handling policy covering acquisition, use, storage, transportation and disposal, including safe storage, safe transport and irretrievable deletion and destruction. Include user manuals and training on correct secure use, guidelines for secure storage considering backup management, protocols for secure transfer and cloud data migration, and methods for data wiping and physical destruction ensuring complete irretrievable deletion. Policy must cover proper usage of all in-scope assets on-premises and off-premises (mobile devices, cloud data, transient data, sensitive information) with authorized management approval required for external transfers in accordance with policy. Link the handling policy to asset classification by providing handling details for each classification level.",Yes,,,
145,HANDLING OF ASSETS,"The relevant entities shall review and, where appropriate, update the policy at planned intervals and when significant incidents or significant changes to operations or risks occur.",,ASSET MANAGEMENT,45,12.2.3,"Review and update the policy for asset handling at least annually. (103) Vehicles that can store data locally on the vehicle and/or share data externally by means of telematics are included. (104) Data that moves between systems, users, or devices, often temporarily or for processing purposes. TECHNICAL IMPLEMENTATION GUIDANCE June 2025, version 1.0 151",Yes,,,
146,REMOVABLE MEDIA POLICY,"The relevant entities shall establish, implement and apply a policy on the management of removable storage media and communicate it to their employees and third parties who handle removable storage media at the relevant entities’ premises or other locations where the removable media is connected to the relevant entities’ network and information systems.",,ASSET MANAGEMENT,45,12.3.1,"Define, document and implement a policy on the management of removable media (105). Communicate the policy to employees and third parties who handle removable storage media to ensure that they are aware of the policy.",Yes,,,
147,REMOVABLE MEDIA POLICY,"The policy shall: (a) provide for a technical prohibition of the connection of removable media unless there is an organisational reason for their use; (b) provide for disabling self-execution from such media and scanning the media for malicious code before they are used on the relevant entities’ systems; (c) provide measures for controlling and protecting portable storage devices containing data while in transit and in storage; (d) where appropriate, provide measures for the use of cryptographic techniques to protect data on removable storage media.",,ASSET MANAGEMENT,45,12.3.2,"Align policy with asset classification (section 12.1) and include definitions and scope of removable media, authorization requirements, usage guidelines (including bring-your-own-device and vehicle telematics), control and protection measures for removable media in storage and transit, techniques to protect information on removable storage media, and incident response procedures for lost or compromised media. Disable autorun features on all removable media to prevent automatic execution of malicious software. If removable media connection is required for business reasons, scan media with up-to-date anti-malware software before connecting to networks and information systems, or implement real-time scanning. Encrypt sensitive data on removable media using strong cryptographic algorithms and encrypt portable storage devices to prevent unauthorized access if devices are lost or stolen. Implement physical security measures including secure storage locations and tracking logs for portable storage devices.",Yes,,,
148,REMOVABLE MEDIA POLICY,"The relevant entities shall review and, where appropriate, update the policy at planned intervals and when significant incidents or significant changes to operations or risks occur.",,ASSET MANAGEMENT,45,12.3.3,Regularly monitor and audit the use of removable media to ensure compliance with the policy.,Yes,,,
149,ASSET INVENTORY,"The relevant entities shall develop and maintain a complete, accurate, up-to-date and consistent inventory of their assets. They shall record changes to the entries in the inventory in a traceable manner.",,ASSET MANAGEMENT,45,12.4.1,"Ensure that all assets, including hardware, software, data and services, are listed in the inventory. Regularly verify the accuracy of the inventory entries. Update the inventory promptly to reflect any changes, such as new assets, decommissioned assets or changes in asset status (section 6.4). Use standardised naming conventions and categorization methods to maintain consistency across the inventory. Make sure that inventory entries contain the data in the guidance below (sampling). Implement validation rules within the inventory to ensure data entered is complete and consistent.",Yes,,,
150,ASSET INVENTORY,"The granularity of the inventory of the assets shall be at a level appropriate for the needs of the relevant entities. The inventory shall include the following: (a) the list of operations and services and their description, (b) the list of network and information systems and other associated assets supporting the relevant entities’ operations and services.",,ASSET MANAGEMENT,45,12.4.2,"Consider adding one or more of the following to the inventory (indicative, non-exhaustive list):. asset unique ID,. asset type, for example software including virtual machines (version), hardware (operating system / firmware), services, supporting utilities, facilities, heating, ventilation and air conditioning (HVAC) systems, personnel and physical records,. asset owner and contact information,. operational unit responsible for the asset, either internal department name or external provider name (106),. asset description,. asset location,. date of asset’s last update/patch,. asset classification consistent with the risk assessment,. type of information and its classification processed in the basset,. asset end of life, where applicable,. relation to other assets and. logging requirements.",Yes,,,
151,ASSET INVENTORY,The relevant entities shall regularly review and update the inventory and their assets and document the history of changes.,,ASSET MANAGEMENT,45,12.4.3,"Conduct regular reviews to verify the accuracy and completeness of the inventory. Maintain history of changes. (106) In the case of external provider(s), a reference to the SLA covering this relation will also be useful. TECHNICAL IMPLEMENTATION GUIDANCE June 2025, version 1.0 154",Yes,,,
152,HANDLING OF ASSETS,"Define procedures to ensure assets are deposited, returned, or irrevocably deleted upon termination of employment or contractual relationships. Procedures must identify all assets to be returned per asset inventory, including user endpoint devices (computers, tablets, phones, portable storage devices, vehicles with data storage or telematics), specialized equipment, authentication hardware (access cards, keys, tokens, smart cards), and physical copies of information.",,ASSET MANAGEMENT,45,12.2.2,"For personal equipment use, ensure all relevant information is traced and transferred to the entity, then securely deleted from the equipment. Maintain implementation records listing employees or contractors who departed and assets returned with dates. Include relevant terms in employment or service contracts and communicate procedures during induction and exit. Link asset return to employee exit interviews. Where asset return or deletion is impossible, revoke or disable associated credentials, isolate assets in separate network segments using access control lists to restrict access, restrict authorized personnel only, configure firewalls to block traffic to and from isolated assets, physically or logically disable network interfaces, and continuously monitor isolated assets with logged access attempts.",Yes,,,
153,SUPPORTING UTILITIES,"For the purpose of Article 21(2)(c) of Directive (EU) 2022/2555, the relevant entities shall prevent loss, damage or compromise of network and information systems or interruption to their operations due to the failure and disruption of supporting utilities.",,ENVIRONMENTAL AND PHYSICAL SECURITY,45,13.1.1,"Consider supporting utilities, where relevant (107), that ensure the continuous operation of network and information systems, such as (indicative, non-exhaustive list):. power supply – electricity to keep systems running;. water for cooling and other operational needs;. gas for heating or backup power generation;. HVAC to maintain optimal operating conditions;. telecommunications – internet and network connectivity. Include the potential failure and disruption of supporting utilities in the risk assessment.",Yes,,,
154,SUPPORTING UTILITIES,"Protect facilities from power failures and disruptions in supporting utilities (electricity, telecommunications, water, gas, sewage, ventilation, air conditioning). Consider redundancy in utility services. Protect electricity and telecommunications utility services that transport data or supply network and information systems against interception and damage. Monitor utility services and report events outside minimum and maximum control thresholds to competent personnel. Conclude emergency supply contracts (such as fuel for emergency power). Ensure continuous effectiveness, monitor, maintain, and test supply of network and information systems necessary for service operation, including electricity, temperature and humidity control, telecommunications, and Internet connection. For entities with fully remote workforces and no on-premises servers, centralized utility service protections may be unnecessary as distributed operations reduce utility-related risk.",,ENVIRONMENTAL AND PHYSICAL SECURITY,45,13.1.2,"Consider the availability of supporting utilities in the business continuity plan (section 4.1). Consider the availability of supporting utilities, when implementing backup management (section 4.2). Consider implementing measures for the protection of supporting utilities, such as (indicative, non- exhaustive list):. active/passive cooling;. automatic restart after power interruption;. battery backup power;. diesel generators;. backup fuel;. uninterruptable power supply, hot standby power generators;. sufficient fuel delivery SLA;. delivery companies;. redundant cooling;. spare parts for components of network and information systems; and. power backup systems.",Yes,,,
155,SUPPORTING UTILITIES,"The relevant entities shall test, review and, where appropriate, update the protection measures on a regular basis or following significant incidents or significant changes to operations or risks.",,ENVIRONMENTAL AND PHYSICAL SECURITY,45,13.1.3,Conduct routine tests of protection measures. Set up periodic reviews to evaluate the effectiveness of current protection measures.,Yes,,,
156,PROTECTION AGAINST PHYSICAL AND ENVIRONMENTAL THREATS,"For the purpose of Article 21(2)(e) of Directive (EU) 2022/2555, the relevant entities shall prevent or reduce the consequences of events originating from physical and environmental threats, such as natural disasters and other intentional or unintentional threats, based on the results of the risk assessment carried out pursuant to point 2.1.",,ENVIRONMENTAL AND PHYSICAL SECURITY,45,13.2.1,"Consider risks associated with current and forecasted physical and environmental threats to the network and information systems, where relevant (108). Include in the assessment the (physical) locations of the entity’s facilities. Based on the results of the risk assessment determine the assets that need to be protected from physical and environmental threats.",Yes,,,
157,PROTECTION AGAINST PHYSICAL AND ENVIRONMENTAL THREATS,"For that purpose, the relevant entities shall, where appropriate: (a) design and implement protection measures against physical and environmental threats; (b) determine minimum and maximum control thresholds for physical and environmental threats; (c) monitor environmental parameters and report to the competent internal or external personnel events outside the minimum and maximum control thresholds referred to in point (b).",,ENVIRONMENTAL AND PHYSICAL SECURITY,45,13.2.2,"Implement measures against physical and environmental threats considering purpose and scope, network and information systems in scope, facility descriptions, roles and responsibilities, management commitment, inter-organizational coordination, and compliance with national and EU law including data protection. For fully remote workforces without centralized infrastructure, focus on ensuring remote employees' home work environments meet minimum security and safety standards and leverage cloud providers' physical security controls, which mitigates localized incident impact. Identify threats relevant to context and location including fire, flood, natural events, unauthorized access, theft, vandalism, hazardous materials, and long-term environmental changes. Implement measures such as physical access controls (IDs, badges, logs, visitor management, barriers), surveillance (CCTV, entry/exit monitoring, locks, security personnel), climate control (temperature, humidity, HVAC), and fire prevention (alarms, detectors, sprinklers, extinguishers). During heightened threat levels, activate enhanced measures including increased security personnel, advanced biometric access controls, lockdown procedures, enhanced monitoring, redundant power supplies, and advanced environmental sensors.",Yes,,,
158,PROTECTION AGAINST PHYSICAL AND ENVIRONMENTAL THREATS,"The relevant entities shall test, review and, where appropriate, update the protection measures against physical and environmental threats on a regular basis or following significant incidents or significant changes to operations or risks.",,ENVIRONMENTAL AND PHYSICAL SECURITY,45,13.2.3,"Schedule and perform regular tests, such as quarterly fire drills and annual assessments of physical security measures. Conduct both announced and unannounced tests",Yes,,,
159,PERIMETER AND PHYSICAL ACCESS CONTROL,"For the purpose of Article 21(2)(i) of Directive (EU) 2022/2555, the relevant entities shall prevent and monitor unauthorised physical access, damage and interference to their network and information systems.",,ENVIRONMENTAL AND PHYSICAL SECURITY,45,13.3.1,"Implement perimeter physical access control, where relevant (109), taking into account the measures for protection against physical and environmental threats (section 13.2). Ensure that physical access control is integrated with logical and network access control, in line with human resources security procedures (section 10.1) to support the detection of irregular activities and enhance overall organisational security.",Yes,,,
160,PERIMETER AND PHYSICAL ACCESS CONTROL,"For that purpose, the relevant entities shall: (a) on the basis of the risk assessment carried out pursuant to point 2.1, lay down and use security perimeters to protect areas where network and information systems and other associated assets are located; (b) protect the areas referred to in point (a) by appropriate entry controls and access points; (c) design and implement physical security for offices, rooms and facilities, (d) continuously monitor their premises for unauthorised physical access.",,ENVIRONMENTAL AND PHYSICAL SECURITY,45,13.3.2,"In risk assessment, consider risks of unauthorized physical access to, damage to, and interference with network and information systems. For fully remote operations without centralized offices or on-premises infrastructure, emphasize strong logical access controls (multi-factor authentication, endpoint compliance checks, secure connectivity like VPN or Zero Trust Network Access) instead of traditional perimeter controls. Provide guidance to home-based personnel on securing workspaces and restricting unauthorized device access. For third-party cloud or co-location facilities, review and contractually enforce physical access controls through SLAs and verify via audit reports (ISO 27001, SOC 2). Identify high-criticality assets and their compromise impact to determine protection perimeter. Implement physical access controls such as key cards, biometric scanners, locks, security personnel, electronic entry controls with audit trails, space segmentation by authorization levels, CCTV monitoring, fencing, barriers, patrols, and 24/7 guards or alarms at all facility access points. Develop and enforce procedures for granting, reviewing, and revoking physical access rights. Identify a designated official to review and approve authorized personnel lists, and maintain records of authorized access and authorization levels.",Yes,,,
161,PERIMETER AND PHYSICAL ACCESS CONTROL,"The relevant entities shall test, review and, where appropriate, update the physical access control measures on a regular basis or following significant incidents or significant changes to operations or risks.",,ENVIRONMENTAL AND PHYSICAL SECURITY,45,13.3.3,"Review physical access lists. Employ intrusion tests that include, where applicable, unannounced attempts to bypass or circumvent measures associated with physical access points to the facility. At the physical boundary of the facility or network and information system, perform security checks for unauthorised exfiltration of information or removal of information system components.",Yes,,,
162,INCIDENT HANDLING POLICY,"Personnel includes the entity's members, governing body, management, employees, temporary staff, contractors and volunteers. Policy represents the formal intentions and direction of an organisation as expressed by its management bodies. Privileged access refers to necessary permissions granted to specific users enabling them to perform tasks regular users cannot. Procedure is a specified way to carry out an activity or process, which entities may document in detail beyond formal policy including procedures and processes. Process is an activity that transforms input into output. Rule is an accepted principle or instruction stating the entity's expectations of what is required, allowed or not allowed, formally expressed in topic-specific policies and other documents. Significant incident meets the criteria of Article 3 of the regulation. Suspicious event is an unusual event or previously unknown situation that might be a potential security threat, distinguished from ordinary events by context; for example, a single failed login due to typing error is an event, while five consecutive failed login attempts constitute a suspicious event. Topic-specific policy is a policy on a specific subject formally expressed by relevant management bodies. User includes all legal and natural persons that have access to the entity's network and information systems.",,INCIDENT HANDLING,45,3.1.8,,Yes,,,
163,INCIDENT HANDLING POLICY,"(115) ISO 30000:2009, 3.12. (116) ISO/IEC 27002:2022,",,INCIDENT HANDLING,45,3.1.20,,Yes,,,
164,INCIDENT HANDLING POLICY,"ENISA, the European Union Agency for Cybersecurity, is the Union's dedicated agency for achieving high common cybersecurity levels across Europe. Established in 2004 and strengthened by the EU Cybersecurity Act, ENISA contributes to EU cyber policy, enhances trustworthiness of ICT products, services and processes through cybersecurity certification schemes, cooperates with Member States and EU bodies, and helps Europe prepare for cyber challenges. The Agency strengthens trust in the connected economy, boosts infrastructure resilience and keeps Europe's society and citizens digitally secure through knowledge sharing, capacity building and awareness raising with key stakeholders. More information is available at www.enisa.europa.eu.",,INCIDENT HANDLING,45,3.1.32,,Yes,,,
